image,caption
VizWiz_test_00007067.jpg,"Quality issues are too severe to recognize visual content, it's just a picture of a flower on a green blanket or blanket."
VizWiz_test_00007068.jpg,A pair of white pants are on top of a bed.
VizWiz_test_00007069.jpg,A lamp is on top of a table with a lamp on the side.
VizWiz_test_00007070.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007071.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007072.jpg,A remote control is on top of a bed.
VizWiz_test_00007073.jpg,A box of hamburger helper sandwiches is on the floor.
VizWiz_test_00007074.jpg,A living room with a dog and a couch in the background.
VizWiz_test_00007075.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007076.jpg,A piece of paper currency is on top of a wooden table.
VizWiz_test_00007077.jpg,"A living room with a TV, a DVD player, a stereo, and a DVD case."
VizWiz_test_00007078.jpg,A package of food is lying on top of a table.
VizWiz_test_00007079.jpg,A can of food is on top of the table.
VizWiz_test_00007080.jpg,A black computer mouse is on top of a white surface.
VizWiz_test_00007081.jpg,A package of red peppermint tea is on top of a counter top.
VizWiz_test_00007082.jpg,"Quality issues are too severe to recognize visual content, it's just a picture of a computer screen with a black background and a white background with a white lettering on it."
VizWiz_test_00007083.jpg,A black electronic device with a digital display and a digital screen.
VizWiz_test_00007084.jpg,"Quality issues are too severe to recognize visual content, it's just a blue screen with a blue background and a white background with a white textured background."
VizWiz_test_00007085.jpg,A box of hot dogs is on top of a table.
VizWiz_test_00007086.jpg,A box of frozen food is on top of the table.
VizWiz_test_00007087.jpg,A person is holding a box of food in front of a computer screen.
VizWiz_test_00007088.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what the object is, and the color is too dark to recognize what it is, but it is too close to the camera to tell the object's color, and there is too much of a white knob to make the image."
VizWiz_test_00007089.jpg,A twenty dollar bill sitting on a granite counter top.
VizWiz_test_00007090.jpg,A person is holding up a package of baby wipes.
VizWiz_test_00007091.jpg,A picture of the food is on the packaging and is on top of a tablecloth.
VizWiz_test_00007092.jpg,"Quality issues are too severe to recognize visual content, it's just a picture of a hand holding a small, round object with a red, green, and yellow band around it."
VizWiz_test_00007093.jpg,A red and white toy car is on top of a table.
VizWiz_test_00007094.jpg,A red pen with a red cap is on a table.
VizWiz_test_00007095.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is, and the image is too blurred to identify what it was."
VizWiz_test_00007096.jpg,A box of dog treats is on the lap of a person wearing a white t-shirt and a black and white dog collar.
VizWiz_test_00007097.jpg,A package of beef jerky is on top of a table.
VizWiz_test_00007098.jpg,A can of food is on top of a wooden table.
VizWiz_test_00007099.jpg,The back of a pink box with a picture of a dog on the front.
VizWiz_test_00007100.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to read what it is."
VizWiz_test_00007101.jpg,The back of a box of food showing the cooking instructions.
VizWiz_test_00007102.jpg,A person is wearing a red shirt and is wearing red pants.
VizWiz_test_00007103.jpg,"Quality issues are too severe to recognize visual content, it's just a picture of a flower with green leaves and green leaves."
VizWiz_test_00007104.jpg,A bottle of hand sanitizer is on top of a wooden table.
VizWiz_test_00007105.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to read anything else."
VizWiz_test_00007106.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what's in the image."
VizWiz_test_00007107.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is, and it's hard to tell if it's a ball of yarn or a piece of fabric, or a blanket, or something else, it could be a blanket or blanket, but I can't tell what the object is, but it looks like it could possibly be a pillow, or some other blanket, maybe a blanket with a lot of wrinkles in it."
VizWiz_test_00007108.jpg,A close up of a man's face with a black and white logo.
VizWiz_test_00007109.jpg,A car is parked in a parking lot in front of a building with a white car parked in the background.
VizWiz_test_00007110.jpg,"Quality issues are too severe to recognize visual content, it's just a picture of a room with a TV in the background."
VizWiz_test_00007111.jpg,A can of food is on top of a table.
VizWiz_test_00007112.jpg,"Quality issues are too severe to recognize visual content, it's too cluttered to read anything else."
VizWiz_test_00007113.jpg,"Quality issues are too severe to recognize visual content, it's too close to the camera to see anything else, and the light is too far away to tell what the object is."
VizWiz_test_00007114.jpg,A bag of chips is on top of a table.
VizWiz_test_00007115.jpg,"Quality issues are too severe to recognize visual content, it's just a reflection of a white wall or a ceiling."
VizWiz_test_00007116.jpg,A screenshot of a computer screen showing a math problem.
VizWiz_test_00007117.jpg,A Keurig coffee pod is on top of a counter.
VizWiz_test_00007118.jpg,Quality issues are too severe to recognize visual content.
VizWiz_test_00007119.jpg,A black and white dog laying on a white tile floor.
VizWiz_test_00007120.jpg,A bottle of hand sanitizer is sitting on a green table.
VizWiz_test_00007121.jpg,A black remote control is on a wooden table.
VizWiz_test_00007122.jpg,"Quality issues are too severe to recognize visual content, it's just a blur of light and nothing else is in the picture."
VizWiz_test_00007123.jpg,A necklace is laying on top of a person's lap.
VizWiz_test_00007124.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is, and the image is too blurred to tell anything else in the image."
VizWiz_test_00007125.jpg,A box of frozen dinner is on top of the table.
VizWiz_test_00007126.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007127.jpg,A bottle of lotion is on top of a table.
VizWiz_test_00007128.jpg,A person is wearing a blue and white striped polo shirt with a white and blue stripe.
VizWiz_test_00007129.jpg,A box of pills is on top of a table.
VizWiz_test_00007130.jpg,A person is holding a can of soup in their hand.
VizWiz_test_00007131.jpg,A red book with a picture of a woman on the cover.
VizWiz_test_00007132.jpg,A container of Green Mountain Coffee is on top of a counter.
VizWiz_test_00007133.jpg,A bottle of lemon juice is on top of a table.
VizWiz_test_00007134.jpg,A piece of fabric with a floral pattern on it.
VizWiz_test_00007135.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is, it just looks like it's a white wall or something else."
VizWiz_test_00007136.jpg,Quality issues are too severe to recognize visual content.
VizWiz_test_00007137.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007138.jpg,A person is standing on a wooden table with a wooden chair in the background.
VizWiz_test_00007139.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to read what it says."
VizWiz_test_00007140.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007141.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007142.jpg,Quality issues are too severe to recognize visual content.
VizWiz_test_00007143.jpg,Quality issues are too severe to recognize visual content.
VizWiz_test_00007144.jpg,A person is holding a white bottle of some sort of medicine with a white label on it.
VizWiz_test_00007145.jpg,"Quality issues are too severe to recognize visual content, it's just a picture of a phone."
VizWiz_test_00007146.jpg,A black leather wallet is on top of a wooden table.
VizWiz_test_00007147.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007148.jpg,A box of food is on top of a person's lap.
VizWiz_test_00007149.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007150.jpg,The back of a white bottle with a barcode on it.
VizWiz_test_00007151.jpg,A white crock pot with a red knob and a white label.
VizWiz_test_00007152.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007153.jpg,A living room with a couch and a couch in the background.
VizWiz_test_00007154.jpg,A package of gum is on top of a table.
VizWiz_test_00007155.jpg,A can of soup is on top of a tablecloth.
VizWiz_test_00007156.jpg,A silver crock pot with a red lid is on a white countertop.
VizWiz_test_00007157.jpg,A children's book is on a wooden table.
VizWiz_test_00007158.jpg,A bottle of lotion is on top of a table.
VizWiz_test_00007159.jpg,A piece of paper with a picture of a bird on it.
VizWiz_test_00007160.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is, and it's not clear what the object is, but it looks like it could be some kind of fabric or fabric."
VizWiz_test_00007161.jpg,A bottle of cream is on top of a wooden table.
VizWiz_test_00007162.jpg,A bottle of body lotion is on top of a table.
VizWiz_test_00007163.jpg,"A container / package that contains various goods / edible / liquid items, including /utility / liquid / goods."
VizWiz_test_00007164.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to see what it is."
VizWiz_test_00007165.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to read what it says."
VizWiz_test_00007166.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to read what it is."
VizWiz_test_00007167.jpg,A bottle of lotion is on top of a table.
VizWiz_test_00007168.jpg,A cup of coffee is sitting on a desk next to a computer.
VizWiz_test_00007169.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to read what it is."
VizWiz_test_00007170.jpg,A PlayStation 2 game case for the PlayStation 2 is on a person's lap.
VizWiz_test_00007171.jpg,"Quality issues are too severe to recognize visual content, it's just a reflection of something else."
VizWiz_test_00007172.jpg,A box of frozen food is on top of the counter.
VizWiz_test_00007173.jpg,A can of soup is on top of a counter.
VizWiz_test_00007174.jpg,"A DVD cover of a movie called ""The Big Bang Theory""."
VizWiz_test_00007175.jpg,A person is wearing a pair of black pants and is wearing white socks.
VizWiz_test_00007176.jpg,A white packet of medicine is on top of a wooden table.
VizWiz_test_00007177.jpg,Quality issues are too severe to recognize visual content.
VizWiz_test_00007178.jpg,A person is holding a clear plastic container with a red label.
VizWiz_test_00007179.jpg,A can of tomato sauce is on top of a white stove.
VizWiz_test_00007180.jpg,A black electronic device is sitting on top of a white wall.
VizWiz_test_00007181.jpg,A person is holding up a piece of paper with a picture of a woman in a dress and a man in a red shirt with a red and white lettering on it.
VizWiz_test_00007182.jpg,A book with a picture of a woman on the cover and a man on the front.
VizWiz_test_00007183.jpg,A can of Campbell's chicken noodle soup sitting on a wooden table.
VizWiz_test_00007184.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to see anything else."
VizWiz_test_00007185.jpg,A box of food is on top of the table.
VizWiz_test_00007186.jpg,A package with a pink and yellow cover with a cartoon character on it.
VizWiz_test_00007187.jpg,A close up of a silver keyboard with white keys and black keys.
VizWiz_test_00007188.jpg,"Quality issues are too severe to recognize visual content, it's just a grey piece of fabric."
VizWiz_test_00007189.jpg,A white piece of paper is on top of a wooden table.
VizWiz_test_00007190.jpg,A picture of the inside of a black and white plastic container with a white top and a black bottom with a red top and white bottom.
VizWiz_test_00007191.jpg,A black and silver earbuds on a black leather surface.
VizWiz_test_00007192.jpg,A blue and white dog is standing on a concrete floor.
VizWiz_test_00007193.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to read what it is."
VizWiz_test_00007194.jpg,A person is holding a box of food in their hand.
VizWiz_test_00007195.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is, and the camera is too close to the camera to make out what appears to be a grassy area, but it looks like the grass is too thick to see anything."
VizWiz_test_00007196.jpg,A box of chocolate brownie mix is on top of a table.
VizWiz_test_00007197.jpg,A container of laundry detergent is on top of a table.
VizWiz_test_00007198.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007199.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007200.jpg,"Quality issues are too severe to recognize visual content, it's just a reflection of a dark background."
VizWiz_test_00007201.jpg,A black cell phone sitting on a wooden surface.
VizWiz_test_00007202.jpg,A package of food is on top of the table.
VizWiz_test_00007203.jpg,"Quality issues are too severe to recognize visual content, it's just a picture of a laptop."
VizWiz_test_00007204.jpg,A black chair with a white seatbelt and a black seatbelt.
VizWiz_test_00007205.jpg,A bottle of seasoning is on top of the table.
VizWiz_test_00007206.jpg,The back of a coupon for a restaurant meal.
VizWiz_test_00007207.jpg,Quality issues are too severe to recognize visual content.
VizWiz_test_00007208.jpg,"Quality issues are too severe to recognize visual content, it's just a picture of a blanket."
VizWiz_test_00007209.jpg,A TV is on top of a shelf with a DVD player and a TV on the shelf.
VizWiz_test_00007210.jpg,A view of a house with a green lawn and a blue sky.
VizWiz_test_00007211.jpg,A box of tissues is on top of a bed.
VizWiz_test_00007212.jpg,A dog is laying down on a bed with a couch in the background.
VizWiz_test_00007213.jpg,"Quality issues are too severe to recognize visual content, it's just a picture of a window with a window."
VizWiz_test_00007214.jpg,"Quality issues are too severe to recognize visual content, it's just a blur of light."
VizWiz_test_00007215.jpg,Quality issues are too severe to recognize visual content.
VizWiz_test_00007216.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to see anything else."
VizWiz_test_00007217.jpg,"Quality issues are too severe to recognize visual content, it's just a reflection of a dark background."
VizWiz_test_00007218.jpg,A box of Kraft macaroni and cheese laying on a counter.
VizWiz_test_00007219.jpg,A screenshot of a computer screen with a captcha on it.
VizWiz_test_00007220.jpg,A box of milk is on top of the table.
VizWiz_test_00007221.jpg,A package of food is on top of a person's lap.
VizWiz_test_00007222.jpg,A box of food is on top of the counter.
VizWiz_test_00007223.jpg,A person is holding a box of medicine in their hand.
VizWiz_test_00007224.jpg,A black cordless phone sitting on a desk with a keyboard and other electronic devices.
VizWiz_test_00007225.jpg,A can of Campbell's cream of mushroom soup with a red and white label.
VizWiz_test_00007226.jpg,A person is standing in front of a door with a black handle and a black and white door handle.
VizWiz_test_00007227.jpg,A bottle of lotion is on top of a table.
VizWiz_test_00007228.jpg,A black remote control is on top of a person's lap.
VizWiz_test_00007229.jpg,A bag of hot pockets with a red and yellow label.
VizWiz_test_00007230.jpg,A person is holding a bracelet with a gold ring on it.
VizWiz_test_00007231.jpg,A can of food is on top of the table.
VizWiz_test_00007232.jpg,A TV screen with a man on it and a woman on the screen.
VizWiz_test_00007233.jpg,A person is holding a TV in their living room.
VizWiz_test_00007234.jpg,A white washing machine with a digital display on it.
VizWiz_test_00007235.jpg,A person is holding a bottle of cleaner in their hand.
VizWiz_test_00007236.jpg,A book cover with a picture of a man and a woman on the cover.
VizWiz_test_00007237.jpg,A person is holding a white and black electronic device with a black and white label.
VizWiz_test_00007238.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007239.jpg,A box of Marie Callender's frozen dinner sitting on a wooden table.
VizWiz_test_00007240.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is, and I can't tell what the object is, but it looks like someone is wearing a blue shirt."
VizWiz_test_00007241.jpg,A package of baby wipes is on top of a counter.
VizWiz_test_00007242.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to read what it is, and too cluttered to read anything else in the room."
VizWiz_test_00007243.jpg,"Quality issues are too severe to recognize visual content, it's just a picture of a black screen."
VizWiz_test_00007244.jpg,A hand holding a can of green beans with a green label and a white and red label.
VizWiz_test_00007245.jpg,A bag of potato chips is on top of a bed.
VizWiz_test_00007246.jpg,"Quality issues are too severe to recognize visual content, it's just a picture of a green shirt with a green logo on the front."
VizWiz_test_00007247.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007248.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007249.jpg,A white piece of paper with a barcode on it.
VizWiz_test_00007250.jpg,A box of earbuds is on top of a wooden table.
VizWiz_test_00007251.jpg,A screenshot of a cell phone screen showing the time and date of the day.
VizWiz_test_00007252.jpg,A bottle of orange juice is on top of a table.
VizWiz_test_00007253.jpg,"Quality issues are too severe to recognize visual content, it's just a reflection of a cloudy sky with a few trees in the background."
VizWiz_test_00007254.jpg,A green lawn with a tree and trees in the background.
VizWiz_test_00007255.jpg,"Quality issues are too severe to recognize visual content, it's just a blur of light and nothing else."
VizWiz_test_00007256.jpg,A black and white book with a picture of a woman on the cover.
VizWiz_test_00007257.jpg,"Quality issues are too severe to recognize visual content, it's just a blur of light."
VizWiz_test_00007258.jpg,A package of food is on top of a table.
VizWiz_test_00007259.jpg,Quality issues are too severe to recognize visual content.
VizWiz_test_00007260.jpg,A red and white teddy bear is on top of a blue and white striped rug.
VizWiz_test_00007261.jpg,A stuffed animal is laying on the floor in front of a white wall.
VizWiz_test_00007262.jpg,"A person is holding up a DVD case for a movie called ""The Secret Life of Ronny Dancy""."
VizWiz_test_00007263.jpg,A package of meat is on top of a table.
VizWiz_test_00007264.jpg,A person is holding a bottle of lemonade in their hand.
VizWiz_test_00007265.jpg,A white t-shirt with a picture of a man on it.
VizWiz_test_00007266.jpg,A can of Campbell's cream of celery soup.
VizWiz_test_00007267.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is, and I can't tell what the object is."
VizWiz_test_00007268.jpg,A can of food is on top of the table.
VizWiz_test_00007269.jpg,A package of green tea is on top of a person's lap.
VizWiz_test_00007270.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is, and it's hard to tell if it's a pillow or pillow."
VizWiz_test_00007271.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to read what it says."
VizWiz_test_00007272.jpg,A box of cereal is on top of the table.
VizWiz_test_00007273.jpg,A box of frozen food is on top of a table.
VizWiz_test_00007274.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to read what it says."
VizWiz_test_00007275.jpg,Quality issues are too severe to recognize visual content.
VizWiz_test_00007276.jpg,A black dog is laying on the floor next to a white tile floor.
VizWiz_test_00007277.jpg,A box of Benadryl allergy relief tablets is on a white surface.
VizWiz_test_00007278.jpg,A green fabric with a flower design on it and a flower pattern on the front.
VizWiz_test_00007279.jpg,A silver and black microwave is on a wooden table.
VizWiz_test_00007280.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is, and I can't tell what the problem is."
VizWiz_test_00007281.jpg,A TV is on top of a table with a TV remote in the background.
VizWiz_test_00007282.jpg,A picture of the food is on the packaging.
VizWiz_test_00007283.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007284.jpg,A person is wearing a black t-shirt with white lettering on it and a black shirt with white letters.
VizWiz_test_00007285.jpg,"Quality issues are too severe to recognize visual content, it's just a picture of a house with trees and trees in the background."
VizWiz_test_00007286.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007287.jpg,"Quality issues are too severe to recognize visual content, it's just a white piece of fabric."
VizWiz_test_00007288.jpg,A plastic container of food is on top of a table.
VizWiz_test_00007289.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007290.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007291.jpg,"Quality issues are too severe to recognize visual content, it's just a picture of a cell phone on a table with a window in the background."
VizWiz_test_00007292.jpg,A person is holding a pair of blue jeans in their hand.
VizWiz_test_00007293.jpg,A candle is on top of a table with a clock and other objects on it.
VizWiz_test_00007294.jpg,A person is holding a bottle of beer in their hand.
VizWiz_test_00007295.jpg,A bottle of hand sanitizer sitting on a table with a tablecloth in the background.
VizWiz_test_00007296.jpg,A person is holding a bag of chips in their hand.
VizWiz_test_00007297.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007298.jpg,"A container / package that contains various goods / edible / liquid items, including a canister / bottle."
VizWiz_test_00007299.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what's in it."
VizWiz_test_00007300.jpg,A can of food is on top of the counter.
VizWiz_test_00007301.jpg,A green box of food is on top of a table.
VizWiz_test_00007302.jpg,A black and white dog is laying on a white blanket.
VizWiz_test_00007303.jpg,A computer screen with a message asking if you want to restore your computer.
VizWiz_test_00007304.jpg,A close up of a black keyboard with white lettering on it.
VizWiz_test_00007305.jpg,A white piece of paper with numbers written on it.
VizWiz_test_00007306.jpg,A can of Coca-Cola is on top of a table.
VizWiz_test_00007307.jpg,A person is holding a can of Pepsi in their hand.
VizWiz_test_00007308.jpg,A large pot of flowers on a table next to a glass of water.
VizWiz_test_00007309.jpg,Quality issues are too severe to recognize visual content.
VizWiz_test_00007310.jpg,A white package of food is on top of a white counter.
VizWiz_test_00007311.jpg,A bottle of lotion is laying on a carpeted floor.
VizWiz_test_00007312.jpg,A package of ground cumin is on top of the table.
VizWiz_test_00007313.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007314.jpg,A can of Coca Cola sitting on a wooden table.
VizWiz_test_00007315.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007316.jpg,A red and white can of food is on top of a table.
VizWiz_test_00007317.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007318.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007319.jpg,A computer screen with a picture of a man on the screen and a man in front of it.
VizWiz_test_00007320.jpg,A person is holding a white bottle with a blue label.
VizWiz_test_00007321.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007322.jpg,"Quality issues are too severe to recognize visual content, it's just a black and white blanket."
VizWiz_test_00007323.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to read what it says."
VizWiz_test_00007324.jpg,"Quality issues are too severe to recognize visual content, it's just a picture of a blanket."
VizWiz_test_00007325.jpg,A box of food is on top of the table.
VizWiz_test_00007326.jpg,"Quality issues are too severe to recognize visual content, it's just a reflection of something else."
VizWiz_test_00007327.jpg,A package of food is on top of the table.
VizWiz_test_00007328.jpg,"Quality issues are too severe to recognize visual content, it's too close to the camera to tell what it is, and too blurry to recognize what it's."
VizWiz_test_00007329.jpg,A figurine of a man and a woman sitting on a wooden table.
VizWiz_test_00007330.jpg,A bag of chips is on top of a table.
VizWiz_test_00007331.jpg,A computer keyboard is on a desk next to a keyboard.
VizWiz_test_00007332.jpg,A piece of paper is on top of a table with a chair in the background and a chair next to it.
VizWiz_test_00007333.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to read what it is."
VizWiz_test_00007334.jpg,A can of food is on top of the table.
VizWiz_test_00007335.jpg,A carton of milk is on top of the table.
VizWiz_test_00007336.jpg,A bottle of Pepsi is on top of a table.
VizWiz_test_00007337.jpg,A box of medicine is on top of the table.
VizWiz_test_00007338.jpg,A red piece of paper is on top of a white surface.
VizWiz_test_00007339.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what the object is, and the only thing I can tell is that it's a light bulb."
VizWiz_test_00007340.jpg,A person is holding a can of food in their hand.
VizWiz_test_00007341.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007342.jpg,A box of food is on top of a person's lap.
VizWiz_test_00007343.jpg,"Quality issues are too severe to recognize visual content, it's a blue and white bag with a blue label on the front of the bag and a blue tag on the back of a blue shirt with white lettering on it."
VizWiz_test_00007344.jpg,A blue box of medicine is on top of a table.
VizWiz_test_00007345.jpg,A computer screen with a blue background and a white background.
VizWiz_test_00007346.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007347.jpg,A twenty dollar bill is on top of a table.
VizWiz_test_00007348.jpg,A flower pot is on top of a table with other plants.
VizWiz_test_00007349.jpg,A container of yogurt is on top of a table.
VizWiz_test_00007350.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is, and the image is too dark to tell anything else, it just looks like it's a dark room."
VizWiz_test_00007351.jpg,"Quality issues are too severe to recognize visual content, it's just a picture of a black leather wallet with a white case on it."
VizWiz_test_00007352.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007353.jpg,A box of food is on top of the table.
VizWiz_test_00007354.jpg,A bag of frozen vegetables is on top of a kitchen counter.
VizWiz_test_00007355.jpg,A blue and white box with a blue and red logo.
VizWiz_test_00007356.jpg,A bottle of diet coke sitting on a wooden table.
VizWiz_test_00007357.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007358.jpg,The back of a package of food showing the nutritional information.
VizWiz_test_00007359.jpg,A can of food is on a table next to a bottle of some kind of liquid.
VizWiz_test_00007360.jpg,A black and white dog is sitting on a white blanket.
VizWiz_test_00007361.jpg,A black cell phone with a black screen and a white screen with white letters on it.
VizWiz_test_00007362.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what the object is."
VizWiz_test_00007363.jpg,A close up of a silver and black electronic device with a silver logo on the front.
VizWiz_test_00007364.jpg,A person is holding up a candy bar in their hand.
VizWiz_test_00007365.jpg,A package of frozen food is on top of a kitchen counter.
VizWiz_test_00007366.jpg,A black speaker is sitting on a desk in front of a computer.
VizWiz_test_00007367.jpg,A box of granola bars is on top of a table.
VizWiz_test_00007368.jpg,A person is holding a silver coin in their hand.
VizWiz_test_00007369.jpg,A bottle of liquid is on top of the table.
VizWiz_test_00007370.jpg,A person is holding a pink pillow in their lap.
VizWiz_test_00007371.jpg,A person is holding up a black and silver can of Kroger brand pepper spray.
VizWiz_test_00007372.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007373.jpg,"Quality issues are too severe to recognize visual content, it's just a picture of a cd."
VizWiz_test_00007374.jpg,A piece of paper with a picture of a bird on it.
VizWiz_test_00007375.jpg,A box of food is on top of the table.
